,,,,,,Constants of dispersion formula,,,,,,Constants for dn/dT,,,,,,"Relative temperature coefficients of refractive index
 [-40/-20 deg.C]",,,"Absolute temperature coefficients of refractive index
 [-40/-20 deg.C]",,,Relative temperature coefficients of refractive index [+20/+40 deg.C],,,Absolute temperature coefficients of refractive index [+20/+40 deg.C],,,Relative temperature coefficients of refractive index [+60/+80 deg.C],,,"Absolute temperature coefficients of refractive index
 [+60/+80 deg.C]",,,,Internal transmission measured at 25 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal transmission measured at 10 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemical properties,,,,,,Thermal properties,,,,,,,Mechanical properties,,,,,Refractive Indices,,,,,,,,,,,,,,,,,,,,,,,Relative partial dispersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass,nd,ne,vd,ve,Colour code,B1,B2,B3,C1,C2,C3,D0,D1,D2,E0,E1,lambda,1060nm,e-line,g-line,1060nm,e-line,g-line,1060nm,e-line,g-line,1060nm,e-line,g-line,1060nm,e-line, g-line,1060nm,e-line,g-line,Stress optical coefficient,TAUI25/2500,TAUI25/2325,TAUI25/1970,TAUI25/1530,TAUI25/1060,TAUI25/700,TAUI25/660,TAUI25/620,TAUI25/580,TAUI25/546,TAUI25/500,TAUI25/460,TAUI25/436,TAUI25/420,TAUI25/405,TAUI25/400,TAUI25/390,TAUI25/380,TAUI25/370,TAUI25/365,TAUI25/350,TAUI25/334,TAUI25/320,TAUI25/310,TAUI25/300,TAUI25/290,TAUI25/280,TAUI25/270,TAUI25/260,TAUI25/250,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,,CR,FR,SR,AR,PR,Density,Tg,T13,T7.6,Heat capacity (cp),Heat conductivity(lambda),alpha -30/70,alpha 20/300,Young?s modulus (E),Poisson ratio (?),Knoop hardness (HK),Abrasion hardness (HG),K,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3,nF-nC,nF'-nC',"  P s,t","  P C,s","  P d,C","  P e,d","  P g,F","  P i,h","  P' s,t ","  P' C',s","  P' d,C'","  P' e,d ","  P' g,F'","  P' i,h ","  DP C,t","  DP C,s","  DP F,e","  DP g,F","  DP i,g",Glascode,Remarks,Date,rel. Price,WR-J,SR-J,AT,Abrasion HG-J,will become inquiry glass,
 BK7G18 ,1.51975,1.52170,63.58,63.36,41/37,1.26538542E+00,1.44191073E-02,1.00323028E+00,8.13104078E-03,5.43303226E-02,1.02821166E+02,1.52E-06,1.37E-08,-1.26E-11,4.36E-07,4.17E-10,1.94E-01,2.20,2.70,3.30,0.20,0.70,1.20,2.20,2.80,3.40,0.90,1.50,2.10,2.40,3.00,3.70,1.40,2,2.6,2.77,0.320,0.540,0.841,0.979,0.998,0.993,0.988,0.984,0.979,0.973,0.957,0.927,0.873,0.780,0.600,0.510,0.280,0.080, , , , , , , , , , , , ,0.634,0.782,0.933,0.992,0.999,0.997,0.995,0.994,0.992,0.989,0.982,0.970,0.947,0.905,0.815,0.764,0.601,0.360,0.080,0.020, , , , , , , , , , ,, ,0,1,2, ,2.52,585,570,722,0.82,1.19,7,8.22,82,0.205,580,,2.77,1.49203,1.49777,1.50373,1.50953,1.51015,1.51267,1.51579,1.51724,1.51764,1.51802,1.51968,1.51975,1.52170,1.52541,1.52587,1.52981,1.53345,1.53970,,,,,,0.008174,0.008233,0.3077,0.5591,0.3071,0.2385,0.5376,0.7640,0.3055,0.6040,0.2561,0.2368,0.4777,0.7585,0.0203,0.0080,-0.0006,0.0007,0.0189,520636.252,radiation resistant glass,1/2/14,1.8,,,,,,
 F2 ,1.62004,1.62408,36.37,36.11,35/32,1.34533359E+00,2.09073176E-01,9.37357162E-01,9.97743871E-03,4.70450767E-02,1.11886764E+02,1.51E-06,1.56E-08,-2.78E-11,9.34E-07,1.04E-09,2.50E-01,2.40,3.90,5.50,0.30,1.60,3.20,2.70,4.40,6.30,1.30,3.00,4.80,3.00,4.80,6.80,1.90,3.7,5.7,2.81,0.589,0.685,0.876,0.989,0.998,0.998,0.997,0.998,0.998,0.998,0.997,0.994,0.993,0.991,0.987,0.985,0.977,0.963,0.940,0.921,0.780,0.211,0.000, , , , , , , ,0.809,0.859,0.949,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.994,0.991,0.985,0.975,0.968,0.905,0.537,0.080,0.000, , , , , , ,,1,0,1,2.3,1.3,3.60,434,430,594,0.557,0.78,8.2,9.2,57,0.22,420,2,2.81,1.58465,1.58958,1.59513,1.60190,1.60279,1.60671,1.61227,1.61503,1.61582,1.61656,1.61989,1.62004,1.62408,1.63208,1.63310,1.64202,1.65064,1.66623,1.684550,,,,,0.017050,0.017284,0.2301,0.4882,0.2938,0.2370,0.5828,0.9142,0.2270,0.5270,0.2443,0.2338,0.5159,0.9018,0.0008,0.0005,0.0000,0.0002,0.0006,620364.360,lead containing glass type,07/02/24,1.2,,,,,,
 F2G12 ,1.62072,1.62474,36.56,36.30,46/39,1.34702224E+00,2.10037763E-01,1.95350768E+01,9.80850553E-03,4.71788018E-02,2.27915470E+03,2.19E-06,1.62E-08,-2.20E-11,9.55E-07,8.12E-10,2.50E-01,2.70,4.30,6.00,0.60,2.10,3.80,3.10,4.80,6.70,1.70,3.30,5.20,3.30,5.20,7.20,2.30,4.1,6.1,2.79,0.650,0.740,0.900,0.989,0.997,0.988,0.984,0.979,0.972,0.953,0.920,0.810,0.580,0.300,0.070,0.030,, , , , , , , , , ,  , , , ,0.842,0.887,0.959,0.996,0.999,0.995,0.994,0.992,0.989,0.981,0.967,0.919,0.804,0.618,0.345,0.246,0.120,0.020,, , , , , ,  , , ,  , , ,,1,0,1,1.3,2.3,3.61,435,438,612,0.53,0.82,7.6,8.3,58,0.222,411,,2.79,1.58584,1.59051,1.59593,1.60265,1.60353,1.60744,1.61298,1.61573,1.61652,1.61725,1.62057,1.62072,1.62474,1.63271,1.63373,1.64261,1.65121,,,,,,,0.016979,0.017212,0.2303,0.4883,0.2937,0.2369,0.5831,,0.2272,0.5271,0.2443,0.2337,0.5163,,0.0002,0.0002,0.0002,0.0008,,621366.361,"radiation resistant glass, lead containing glass type",1/12/23,4.9,,,,,,
 F2HT ,1.62004,1.62408,36.37,36.11,35/32,1.34533359E+00,2.09073176E-01,9.37357162E-01,9.97743871E-03,4.70450767E-02,1.11886764E+02,1.51E-06,1.56E-08,-2.78E-11,9.34E-07,1.04E-09,2.50E-01,2.40,3.90,5.50,0.30,1.60,3.20,2.70,4.40,6.30,1.30,3.00,4.80,3.00,4.80,6.80,1.90,3.7,5.7,2.81,0.714,0.795,0.921,0.994,0.998,0.998,0.997,0.998,0.998,0.998,0.997,0.995,0.994,0.994,0.992,0.991,0.988,0.982,0.971,0.957,0.828,0.240,0.000, , , , , , , ,0.874,0.912,0.968,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.996,0.995,0.993,0.988,0.983,0.927,0.565,0.080,0.000, , , , , , ,,1,0,1,2.3,1.3,3.60,434,430,594,0.557,0.78,8.2,9.2,57,0.22,420,2,2.81,1.58465,1.58958,1.59513,1.60190,1.60279,1.60671,1.61227,1.61503,1.61582,1.61656,1.61989,1.62004,1.62408,1.63208,1.63310,1.64202,1.65064,1.66623,1.684550,,,,,0.017050,0.017284,0.2301,0.4882,0.2938,0.2370,0.5828,0.9142,0.2270,0.5270,0.2443,0.2338,0.5159,0.9018,0.0008,0.0005,0.0000,0.0002,0.0006,620364.360,lead containing glass type,01/02/14,1.7,,,,,,
 F2HTi ,1.62004,1.62408,36.37,36.11,,1.34533359E+00,2.09073176E-01,9.37357162E-01,9.97743871E-03,4.70450767E-02,1.11886764E+02,1.51E-06,1.56E-08,-2.78E-11,9.34E-07,1.04E-09,2.50E-01,2.40,3.90,5.50,0.30,1.60,3.20,2.70,4.40,6.30,1.30,3.00,4.80,3.00,4.80,6.80,1.90,3.7,5.7,2.81,0.714,0.795,0.921,0.994,0.998,0.998,0.997,0.998,0.998,0.998,0.997,0.994,0.993,0.991,0.987,0.986,0.986,0.985,0.973,0.962,0.835,0.273,,,,,,,,,0.874,0.912,0.968,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.994,0.994,0.994,0.989,0.985,0.930,0.595,0.083,,,,,,,,,1,0,1,2.3,1.3,3.60,434,430,594,0.557,0.78,8.2,9.2,57,0.22,420,2,2.81,1.58465,1.58958,1.59513,1.60190,1.60279,1.60671,1.61227,1.61503,1.61582,1.61656,1.61989,1.62004,1.62408,1.63208,1.63310,1.64202,1.65064,1.66623,1.684550,,,,,0.017050,0.017284,0.2301,0.4882,0.2938,0.2370,0.5828,0.9142,0.2270,0.5270,0.2443,0.2338,0.5159,0.9018,0.0008,0.0005,0.0000,0.0002,0.0006,620364.360,lead containing glass type,13/07/22,,,,,,,
 F5 ,1.60342,1.60718,38.03,37.77,35/32,1.31044630E+00,1.96034260E-01,9.66129770E-01,9.58633048E-03,4.57627627E-02,1.15011883E+02,2.13E-06,1.65E-08,-6.98E-11,1.02E-06,6.56E-10,2.08E-01,2.50,4.00,5.50,0.40,1.80,3.30,3.00,4.60,6.20,1.60,3.20,4.80,3.10,4.80,6.50,2.00,3.7,5.4,2.92,0.550,0.650,0.860,0.987,0.998,0.997,0.996,0.995,0.995,0.995,0.994,0.991,0.990,0.988,0.985,0.982,0.973,0.960,0.930,0.910,0.760,0.300,0.000, , , , , , , ,0.787,0.842,0.941,0.995,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.996,0.996,0.995,0.994,0.993,0.989,0.984,0.971,0.963,0.896,0.618,0.080,0.000, , , , , , ,,1,0,1,2.3,2,3.47,438,425,608,0.56,0.88,8,8.9,58,0.22,450,3,2.92,1.56934,1.57427,1.57979,1.58636,1.58721,1.59093,1.59616,1.59875,1.59948,1.60017,1.60328,1.60342,1.60718,1.61461,1.61556,1.62381,1.63176,1.64606,1.662760,,,,,0.015867,0.016078,0.2346,0.4925,0.2946,0.2371,0.5795,0.9015,0.2315,0.5317,0.2451,0.2340,0.5131,0.8897,0.0017,0.0009,-0.0001,-0.0003,-0.0028,603380.347,lead containing glass type,01/02/14,1.8,,,,,,
 FK5HTi ,1.48748,1.48913,70.47,70.29,29/25,9.09362180E-01,2.79077054E-01,8.91813298E-01,5.20142470E-03,1.58938446E-02,9.59109448E+01,-7.47E-06,1.58E-08,-1.23E-11,3.58E-07,4.03E-10,1.64E-01,-1.60,-1.20,-0.90,-3.60,-3.30,-3.00,-1.50,-1.10,-0.70,-2.70,-2.40,-2.00,-1.30,-0.80,-0.40,-2.30,-1.8,-1.5,2.91,0.385,0.628,0.930,0.965,0.998,0.997,0.995,0.994,0.995,0.995,0.994,0.995,0.996,0.997,0.997,0.997,0.997,0.996,0.996,0.996,0.994,0.989,0.979,0.958,0.900,0.760,0.510,0.220,0.050,0.002,0.683,0.830,0.971,0.986,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.998,0.999,0.998,0.998,0.996,0.992,0.983,0.959,0.896,0.764,0.546,0.302,0.120,,2,1,4,2,2.3,2.45,466,469,672,0.808,0.925,9.2,10,62,0.232,520,,2.91,1.46180,1.46738,1.47312,1.47855,1.47912,1.48137,1.48409,1.48534,1.48568,1.48600,1.48742,1.48748,1.48913,1.49225,1.49264,1.49591,1.49892,1.50398,1.509350,1.514230,1.518610,1.524090,,0.006918,0.006959,0.3253,0.5742,0.3098,0.2388,0.5288,0.7315,0.3234,0.6203,0.2584,0.2374,0.4703,0.7271,0.0202,0.0070,0.0001,0.0036,0.0321,487705.245,i-line glass,17/05/13,,,,,,,
 K10 ,1.50137,1.50349,56.41,56.15,33/30,1.15687082E+00,6.42625444E-02,8.72376139E-01,8.09424251E-03,3.86051284E-02,1.04747730E+02,4.86E-06,1.72E-08,-3.02E-11,3.82E-07,4.53E-10,2.60E-01,3.30,3.90,4.50,1.30,1.80,2.40,3.60,4.20,4.90,2.30,2.90,3.60,3.80,4.50,5.20,2.80,3.4,4.2,3.12,0.520,0.630,0.850,0.983,0.996,0.997,0.994,0.993,0.993,0.992,0.991,0.990,0.988,0.988,0.987,0.986,0.982,0.973,0.966,0.958,0.910,0.720,0.310,0.130,0.020, , , , , ,0.770,0.831,0.937,0.993,0.998,0.999,0.998,0.997,0.997,0.997,0.996,0.996,0.995,0.995,0.995,0.994,0.993,0.989,0.986,0.983,0.963,0.877,0.626,0.370,0.140, , , , , ,,1,0,1,1,1.2,2.52,459,453,691,0.77,1.12,6.5,7.4,65,0.19,470,4,3.12,1.47507,1.48008,1.48536,1.49076,1.49137,1.49389,1.49713,1.49867,1.49910,1.49950,1.50129,1.50137,1.50349,1.50756,1.50807,1.51243,1.51649,1.52350,1.531200,1.538440,,,,0.008888,0.008967,0.2835,0.5385,0.3037,0.2382,0.5475,0.7888,0.2810,0.5817,0.2531,0.2362,0.4860,0.7819,0.0094,0.0041,-0.0007,-0.0015,-0.0048,501564.252,lead containing glass type,01/02/14,2.6,,,,,,
 K5G20 ,1.52344,1.52564,56.76,56.47,41/37,1.14094396E+00,1.45001190E-01,3.74705786E+01,6.94945478E-03,3.10574444E-02,4.53625624E+03,-2.22E-06,8.45E-09,-3.31E-11,5.44E-07,4.95E-10,2.14E-01,0.80,1.50,2.20,-1.20,-0.60,0.10,0.60,1.40,2.10,-0.70,0.10,0.80,0.60,1.40,2.20,-0.50,0.3,1.1, ,0.320,0.460,0.760,0.976,0.995,0.992,0.987,0.985,0.982,0.976,0.961,0.930,0.890,0.820,0.680,0.610,0.390,0.130,0.000, , , , , , , , , , , ,0.634,0.733,0.896,0.990,0.998,0.997,0.995,0.994,0.993,0.990,0.984,0.971,0.954,0.924,0.857,0.821,0.686,0.442,0.130,0.029, , , , , , , , , , ,, ,0,1,1, ,2.59,483,501,679,0.79,1,8.99,10.28,68,0.222,510,, ,1.49784,1.50236,1.50730,1.51258,1.51319,1.51573,1.51906,1.52065,1.52109,1.52151,1.52336,1.52344,1.52564,1.52987,1.53040,1.53494,1.53919,1.54651,,,,,,0.009222,0.009308,0.2764,0.5327,0.3027,0.2382,0.5500,0.7943,0.2738,0.5755,0.2523,0.2360,0.4881,0.7870,-0.0051,-0.0025,0.0005,0.0017,0.0065,523568.259,"radiation resistant glass, lead containing glass type",1/2/14,6.8,,,,,,
